Order/adjustment ID  ,Type ,Order created time,Order settled time,Currency,Total settlement amount,Total Revenue,Subtotal after seller discounts,Subtotal before discounts,Seller discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts,Refund of seller discounts,Total Fees,Transaction fee,TikTok Shop commission fee,Credit card installment - Interest rate cost,Seller shipping fee,Actual shipping fee,Platform shipping fee discount,Customer shipping fee,Actual return shipping fee,Refunded customer shipping fee,Shipping subsidy,Affiliate Commission,Affiliate commission before PIT (personal income tax),Personal income tax withheld from affiliate commission,Affiliate partner commission,Affiliate Shop Ads commission,Affiliate Shop Ads commission before PIT,Personal income tax withheld from affiliate Shop Ads commission,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,SFP service fee,Bonus cashback service fee,LIVE Specials service fee,Voucher Xtra service fee,EAMS Program service fee,Brands Crazy Deals/Flash Sale service fee,TikTok PayLater program fee,Commerce growth fee,Infrastructure fee,Campaign resource fee,Pre-order service fee,GMV Max Coupon,,Ajustment amount,Related order ID  ,Customer payment,Customer refund,Seller co-funded voucher discount,Refund of seller co-funded voucher discount,Platform discounts,Refund of platform discounts,Platform co-funded voucher discounts,Refund of platform co-funded voucher discounts,Seller shipping fee discount,Estimated package weight (g),Actual package weight (g),Shopping center items,Customer's bank for payment
582815993861867361,Order,2026/02/27,2026/02/28,THB,0.00,0,198,258,-60,-198,-258,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,582815993861867361,192.71,-192.71,0,0,5.29,-5.29,0,0,0,1000,0,/,
582809418675553778,Order,2026/02/27,2026/02/28,THB,0.00,0,276,276,0,-276,-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,582809418675553778,276,-276,0,0,0,0,0,0,0,2000,0,"1733370835338823240 * 1;
1733371030971647560 * 1;
1733634449557456456 * 1;
1733370835338692168 * 1;",
582746392959091867,Order,2026/02/23,2026/02/28,THB,73.12,99,99,99,0,0,0,0,-25.88,-3.18,-6.36,0,0,-35,35,0,0,0,0,-8.91,-8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36,-1.07,0,0,0,,0,582746392959091867,99,0,0,0,0,0,0,0,0,500,500,/,
582743635202049042,Order,2026/02/23,2026/02/28,THB,39.54,49,49,49,0,0,0,0,-9.46,-1.57,-3.67,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15,-1.07,0,0,0,,0,582743635202049042,49,0,0,0,0,0,0,0,0,500,500,/,
582743612982395922,Order,2026/02/23,2026/02/28,THB,31.68,39,39,49,-10,0,0,0,-7.32,-1.25,-2.5,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-1.07,0,0,0,,0,582743612982395922,39,0,0,0,0,0,0,0,0,500,500,/,
582743575343433131,Order,2026/02/23,2026/02/28,THB,29.98,37,37,49,-12,0,0,0,-7.02,-1.19,-2.38,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38,-1.07,0,0,0,,0,582743575343433131,37,0,0,0,0,0,0,0,0,500,500,/,
582742822182946225,Order,2026/02/23,2026/02/28,THB,56.86,69,69,79,-10,0,0,0,-12.14,-2.21,-4.43,0,0,-33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,-1.07,0,0,0,,0,582742822182946225,69,0,0,0,0,0,0,0,0,500,500,/,
582742779557021395,Order,2026/02/23,2026/02/28,THB,65.15,76,76,98,-22,0,0,0,-10.85,-0.02,-4.88,0,0,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.88,-1.07,0,0,0,,0,582742779557021395,0.76,0,0,0,75.24,0,0,0,0,1000,1000,/,
582727962646512719,Order,2026/02/22,2026/02/28,THB,56.86,69,69,69,0,0,0,0,-12.14,-2.21,-4.43,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,-1.07,0,0,0,,0,582727962646512719,69,0,0,0,0,0,0,0,0,500,500,/,
582727749639833225,Order,2026/02/22,2026/02/28,THB,86.90,119,119,139,-20,0,0,0,-32.1,-5.04,-7.64,0,0,-38,0,38,0,0,0,-10.71,-10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.64,-1.07,0,0,0,,0,582727749639833225,157,0,0,0,0,0,0,0,0,500,500,1733406442781312584 * 1;,
582726285110838504,Order,2026/02/22,2026/02/28,THB,73.65,89,89,99,-10,0,0,0,-15.35,-2.86,-5.71,0,0,-23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,-1.07,0,0,0,,0,582726285110838504,89,0,0,0,0,0,0,0,0,500,500,/,
582726280151664608,Order,2026/02/22,2026/02/28,THB,106.38,128,128,128,0,0,0,0,-21.62,-4.11,-8.22,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.22,-1.07,0,0,0,,0,582726280151664608,128,0,0,0,0,0,0,0,0,1000,1000,/,
582724138072180565,Order,2026/02/22,2026/02/28,THB,244.16,295,295,295,0,0,0,0,-50.84,-9.47,-21.36,0,0,-54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.94,-1.07,0,0,0,,0,582724138072180565,295,0,0,0,0,0,0,0,0,2500,2500,/,
582712325790074857,Order,2026/02/21,2026/02/28,THB,34.18,42,42,59,-17,0,0,0,-7.82,-1.35,-2.7,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-1.07,0,0,0,,0,582712325790074857,42,0,0,0,0,0,0,0,0,500,500,/,
582711928206231130,Order,2026/02/21,2026/02/28,THB,31.68,39,39,49,-10,0,0,0,-7.32,-1.25,-2.5,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-1.07,0,0,0,,0,582711928206231130,39,0,0,0,0,0,0,0,0,500,500,/,
582711608228742207,Order,2026/02/21,2026/02/28,THB,31.04,39,39,49,-10,0,0,0,-7.96,-1.89,-2.5,0,0,-38,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-1.07,0,0,0,,0,582711608228742207,59,0,0,0,0,0,0,0,0,500,500,/,
