Order/adjustment ID  ,Type ,Order created time,Order settled time,Currency,Total settlement amount,Total Revenue,Subtotal after seller discounts,Subtotal before discounts,Seller discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts,Refund of seller discounts,Total Fees,Transaction fee,TikTok Shop commission fee,Credit card installment - Interest rate cost,Seller shipping fee,Actual shipping fee,Platform shipping fee discount,Customer shipping fee,Actual return shipping fee,Refunded customer shipping fee,Shipping subsidy,Affiliate Commission,Affiliate commission before PIT (personal income tax),Personal income tax withheld from affiliate commission,Affiliate partner commission,Affiliate Shop Ads commission,Affiliate Shop Ads commission before PIT,Personal income tax withheld from affiliate Shop Ads commission,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,SFP service fee,Bonus cashback service fee,LIVE Specials service fee,Voucher Xtra service fee,EAMS Program service fee,Brands Crazy Deals/Flash Sale service fee,TikTok PayLater program fee,Commerce growth fee,Infrastructure fee,Campaign resource fee,Pre-order service fee,,Ajustment amount,Related order ID  ,Customer payment,Customer refund,Seller co-funded voucher discount,Refund of seller co-funded voucher discount,Platform discounts,Refund of platform discounts,Platform co-funded voucher discounts,Refund of platform co-funded voucher discounts,Seller shipping fee discount,Estimated package weight (g),Actual package weight (g),Shopping center items,Customer's bank for payment
581842246636438732,Order,2025/12/27,2025/12/31,THB,165.66,198,198,258,-60,0,0,0,-32.34,-5.85,-12.71,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.71,-1.07,0,0,,0,581842246636438732,182.16,0,0,0,15.84,0,0,0,0,1000,1000,"1733406442781312584 * 1;
1733674797282199112 * 1;",
581837042412390141,Order,2025/12/27,2025/12/31,THB,46.80,57,57,69,-12,0,0,0,-10.2,-1.81,-3.66,0,0,-29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.66,-1.07,0,0,,0,581837042412390141,56.29,0,0,0,0.71,0,0,0,0,500,500,/,
581836909637567928,Order,2025/12/27,2025/12/31,THB,82.03,99,99,139,-40,0,0,0,-16.97,-3.18,-6.36,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36,-1.07,0,0,,0,581836909637567928,99,0,0,0,0,0,0,0,0,500,500,/,
581836674643691076,Order,2025/12/26,2025/12/31,THB,64.41,78,78,98,-20,0,0,0,-13.59,-2.5,-5.01,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01,-1.07,0,0,,0,581836674643691076,78,0,0,0,0,0,0,0,0,1000,1000,/,
581836197661148685,Order,2025/12/26,2025/12/31,THB,304.51,364,364,454,-90,0,0,0,-59.49,-11.68,-23.37,0,0,-54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.37,-1.07,0,0,,0,581836197661148685,364,0,0,0,0,0,0,0,0,3000,3000,1733406455146776136 * 1;,
581835637669267103,Order,2025/12/26,2025/12/31,THB,64.41,78,78,98,-20,0,0,0,-13.59,-2.5,-5.01,0,0,-29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01,-1.07,0,0,,0,581835637669267103,78,0,0,0,0,0,0,0,0,1000,1000,/,
581822834737514370,Order,2025/12/26,2025/12/31,THB,53.22,69,69,69,0,0,0,0,-15.78,-3.43,-4.43,0,0,-38,0,38,0,0,0,-2.42,-2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,-1.07,0,0,,0,581822834737514370,107,0,0,0,0,0,0,0,0,500,500,1733370835338823240 * 1;,
581820082170922363,Order,2025/12/25,2025/12/31,THB,40.06,49,49,49,0,0,0,0,-8.94,-1.57,-3.15,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15,-1.07,0,0,,0,581820082170922363,49,0,0,0,0,0,0,0,0,500,500,/,
581819715691644283,Order,2025/12/25,2025/12/31,THB,98.83,119,119,139,-20,0,0,0,-20.17,-3.82,-7.64,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.64,-1.07,0,0,,0,581819715691644283,119,0,0,0,0,0,0,0,0,500,500,1733406442781181512 * 1;,
581819435264803884,Order,2025/12/25,2025/12/31,THB,56.28,69,69,69,0,0,0,0,-12.72,-2.79,-4.43,0,0,-38,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,-1.07,0,0,,0,581819435264803884,87,0,0,0,0,0,0,0,0,500,500,1733634449557194312 * 1;,
581818243761866120,Order,2025/12/25,2025/12/31,THB,73.65,89,89,99,-10,0,0,0,-15.35,-2.86,-5.71,0,0,-29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,-1.07,0,0,,0,581818243761866120,89,0,0,0,0,0,0,0,0,500,500,1732164949093746248 * 1;,
