Order/adjustment ID  ,Type ,Order created time,Order settled time,Currency,Total settlement amount,Total Revenue,Subtotal after seller discounts,Subtotal before discounts,Seller discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts,Refund of seller discounts,Total Fees,Transaction fee,TikTok Shop commission fee,Credit card installment - Interest rate cost,Seller shipping fee,Actual shipping fee,Platform shipping fee discount,Customer shipping fee,Actual return shipping fee,Refunded customer shipping fee,Shipping subsidy,Affiliate Commission,Affiliate commission before PIT (personal income tax),Personal income tax withheld from affiliate commission,Affiliate partner commission,Affiliate Shop Ads commission,Affiliate Shop Ads commission before PIT,Personal income tax withheld from affiliate Shop Ads commission,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,SFP service fee,Bonus cashback service fee,LIVE Specials service fee,Voucher Xtra service fee,EAMS Program service fee,Brands Crazy Deals/Flash Sale service fee,TikTok PayLater program fee,Commerce growth fee,Infrastructure fee,Campaign resource fee,Pre-order service fee,,Ajustment amount,Related order ID  ,Customer payment,Customer refund,Seller co-funded voucher discount,Refund of seller co-funded voucher discount,Platform discounts,Refund of platform discounts,Platform co-funded voucher discounts,Refund of platform co-funded voucher discounts,Seller shipping fee discount,Estimated package weight (g),Actual package weight (g),Shopping center items,Customer's bank for payment
580065880385094987,Order,2025/08/20,2025/08/31,THB,86.00,94.05,94.05,99,-4.95,0,0,0,-8.05,-3.02,-5.03,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580065880385094987,94.05,0,0,0,0,0,0,0,0,500,500,/,
580064628870513818,Order,2025/08/20,2025/08/31,THB,84.78,94.05,94.05,99,-4.95,0,0,0,-9.27,-4.24,-5.03,0,0,-38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580064628870513818,132.05,0,0,0,0,0,0,0,0,500,500,/,
580024220953380418,Order,2025/08/17,2025/08/27,THB,59.94,65.55,65.55,69,-3.45,0,0,0,-5.61,-2.1,-3.51,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580024220953380418,65.55,0,0,0,0,0,0,0,0,500,500,/,
579940077747668571,Order,2025/08/10,2025/08/21,THB,89.40,99,99,99,0,0,0,0,-9.6,-4.3,-5.3,0,0,-35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579940077747668571,134,0,0,0,0,0,0,0,0,500,500,/,
579892778339763452,Order,2025/08/06,2025/08/17,THB,105.99,119,119,119,0,0,0,0,-13.01,-6.64,-6.37,0,0,-88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579892778339763452,207,0,0,0,0,0,0,0,0,500,500,1731976570279134792 * 1;,
579836030099555552,Order,2025/08/01,2025/08/15,THB,89.30,99,99,99,0,0,0,0,-9.7,-4.4,-5.3,0,0,-38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579836030099555552,137,0,0,0,0,0,0,0,0,500,500,/,
579868198411077269,Order,2025/08/04,2025/08/14,THB,107.69,119,119,119,0,0,0,0,-11.31,-4.94,-6.37,0,0,-35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579868198411077269,154,0,0,0,0,0,0,0,0,500,500,/,
579745057347110070,Order,2025/07/25,2025/08/05,THB,89.40,99,99,99,0,0,0,0,-9.6,-4.3,-5.3,0,0,-35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579745057347110070,134,0,0,0,0,0,0,0,0,500,500,/,
579715748523050485,Order,2025/07/22,2025/08/03,THB,89.30,99,99,99,0,0,0,0,-9.7,-4.4,-5.3,0,0,-38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579715748523050485,137,0,0,0,0,0,0,0,0,500,500,/,
579713153409975579,Order,2025/07/22,2025/08/02,THB,80.35,89.1,89.1,99,-9.9,0,0,0,-8.75,-3.98,-4.77,0,0,-35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,579713153409975579,124.1,0,0,0,0,0,0,0,0,500,500,/,
