Order/adjustment ID  ,Type ,Order created time,Order settled time,Currency,Total settlement amount,Total Revenue,Subtotal after seller discounts,Subtotal before discounts,Seller discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts,Refund of seller discounts,Total Fees,Transaction fee,TikTok Shop commission fee,Credit card installment - Interest rate cost,Seller shipping fee,Actual shipping fee,Platform shipping fee discount,Customer shipping fee,Actual return shipping fee,Refunded customer shipping fee,Shipping subsidy,Affiliate Commission,Affiliate commission before PIT (personal income tax),Personal income tax withheld from affiliate commission,Affiliate partner commission,Affiliate Shop Ads commission,Affiliate Shop Ads commission before PIT,Personal income tax withheld from affiliate Shop Ads commission,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,SFP service fee,Bonus cashback service fee,LIVE Specials service fee,Voucher Xtra service fee,EAMS Program service fee,Brands Crazy Deals/Flash Sale service fee,TikTok PayLater program fee,Commerce growth fee,Infrastructure fee,Campaign resource fee,Pre-order service fee,,Ajustment amount,Related order ID  ,Customer payment,Customer refund,Seller co-funded voucher discount,Refund of seller co-funded voucher discount,Platform discounts,Refund of platform discounts,Platform co-funded voucher discounts,Refund of platform co-funded voucher discounts,Seller shipping fee discount,Estimated package weight (g),Actual package weight (g),Shopping center items,Customer's bank for payment
581284435169084826,Order,2025/11/20,2025/11/30,THB,81.20,98,98,98,0,0,0,0,-16.8,-3.15,-6.29,0,0,-29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.29,-1.07,0,0,,0,581284435169084826,98,0,0,0,0,0,0,0,0,1000,1000,"1733064430221231688 * 1;
1733099141017273928 * 1;",
581274596650681557,Order,2025/11/20,2025/11/30,THB,56.86,69,69,69,0,0,0,0,-12.14,-2.21,-4.43,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,-1.07,0,0,,0,581274596650681557,69,0,0,0,0,0,0,0,0,500,500,/,
581271957426571162,Order,2025/11/19,2025/11/30,THB,68.61,83,83,108,-25,0,0,0,-14.39,-2.66,-5.33,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.33,-1.07,0,0,,0,581271957426571162,83,0,0,0,0,0,0,0,0,1000,1000,1732471283200001608 * 1;,
581271965630039699,Order,2025/11/19,2025/11/30,THB,48.46,59,59,69,-10,0,0,0,-10.54,-1.89,-3.79,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79,-1.07,0,0,,0,581271965630039699,59,0,0,0,0,0,0,0,0,500,500,/,
581271937457948400,Order,2025/11/19,2025/11/30,THB,48.46,59,59,69,-10,0,0,0,-10.54,-1.89,-3.79,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79,-1.07,0,0,,0,581271937457948400,59,0,0,0,0,0,0,0,0,500,500,/,
581271910222759645,Order,2025/11/19,2025/11/30,THB,192.85,231,231,285,-54,0,0,0,-38.15,-7.42,-14.83,0,0,-54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.83,-1.07,0,0,,0,581271910222759645,231,0,0,0,0,0,0,0,0,2500,2500,"1733066894477329992 * 1;
1733188567789438536 * 1;
1733285133021120072 * 1;
1733285133021251144 * 1;
1732956764838004296 * 1;",
581271903623218361,Order,2025/11/19,2025/11/30,THB,63.92,78,78,98,-20,0,0,0,-14.08,-2.99,-5.01,0,0,-35,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01,-1.07,0,0,,0,581271903623218361,93,0,0,0,0,0,0,0,0,1000,1000,1732956764838004296 * 1;,
581271867873789122,Order,2025/11/19,2025/11/30,THB,64.41,78,78,98,-20,0,0,0,-13.59,-2.5,-5.01,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01,-1.07,0,0,,0,581271867873789122,78,0,0,0,0,0,0,0,0,1000,1000,/,
581271681336903411,Order,2025/11/19,2025/11/30,THB,48.46,59,59,69,-10,0,0,0,-10.54,-1.89,-3.79,0,0,-33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79,-1.07,0,0,,0,581271681336903411,59,0,0,0,0,0,0,0,0,500,500,/,
581271649930479010,Order,2025/11/19,2025/11/30,THB,61.05,84,84,99,-15,0,0,0,-22.95,-2.7,-5.39,0,0,-35,35,0,0,0,0,-8.4,-8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.39,-1.07,0,0,,0,581271649930479010,84,0,0,0,0,0,0,0,0,500,500,/,
